,WT2D,WT2D.1,WT2D.2,WT2D.3,WT2D.4,WT2D.5,WT2D.6,WT2D.7,WT2D.8,WT2D.9,WT2D.10,WT2D.11,WT2D.12,WT2D.13,WT2D.14,WT2D.15,WT2D.16,WT2D.17,WT2D.18,WT2D.19,WT2D.20,WT2D.21,WT2D.22,WT2D.23,WT2D.24,WT2D.25,WT2D.26,WT2D.27,WT2D.28,WT2D.29,WT2D.30,WT2D.31,WT2D.32,WT2D.33,WT2D.34,WT2D.35,WT2D.36,WT2D.37,WT2D.38,WT2D.39,WT2D.40,WT2D.41,WT2D.42,WT2D.43,WT2D.44,WT2D.45,WT2D.46,WT2D.47,WT2D.48,WT2D.49,WT2D.50,WT2D.51,WT2D.52,WT2D.53,WT2D.54,WT2D.55,WT2D.56,WT2D.57,WT2D.58,WT2D.59,WT2D.60,WT2D.61,WT2D.62,WT2D.63,WT2D.64,WT2D.65,WT2D.66,WT2D.67,WT2D.68,WT2D.69,WT2D.70,WT2D.71,WT2D.72,WT2D.73,WT2D.74,WT2D.75,WT2D.76,WT2D.77,WT2D.78,WT2D.79,WT2D.80,WT2D.81,WT2D.82,WT2D.83,WT2D.84,WT2D.85,WT2D.86,WT2D.87,WT2D.88,WT2D.89,WT2D.90,WT2D.91,WT2D.92,WT2D.93,WT2D.94,WT2D.95
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_laneus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0058207,0,0,0,0,0.020435896,0.003285401,0,0,0,0,0,0,0,0,0.0043187,0,0,0,0,0.012147901,0,0,9.53E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016592,0.002274198,0,0,0,0.0040735,0,0,0.001480199,0,0,0,0,0,0,0,0,0,0.003627501,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus,0.0031301,0.0018468,0.003517899,0.002544802,0,0.0021081,0,0,0,0,0.003225697,0.002174,0.008414801,0.0035124,0,0.001249901,0,0.005116698,0.003168702,0,0,0,0,0,0,0.003289201,0,0,0,0,0,0,0.002594101,0,0.0013152,0,0.0030379,0,0.001592001,0,0.0038657,0,0.000841,0,0,0.0046269,0,0,0,0,0,0.0019156,0.001171,0,0,0,0.0029321,0,0,0.0015552,0.0013646,0,0.005106698,0.0023164,0,0.0007946,0,0.0004102,0,0.003019099,0.0029376,0,0,0.0030306,0,0.0011896,0.0011919,0,0.006052899,0,0,0.0020118,0.001907,0,0.001184899,0,0,0.0048022,0.002506602,0.011198402,0.008646202,0,0.0027893,0.001985801,0.001679501,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_unclassified,0,0,0,0,0.0019763,0,0,0,0.0001873,0.0001221,0,0,0,0,0,0,0,0,0,0.0003954,0,0,0.000638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004933,0,0,0,0,0,0,0.0002536,0,0,0,0.0001887,0.0001267,0.0001809,0,0,0,0,0.0007889,0,8.64E-05,0,0,0,0.0003626,0,0,0.0005635,0,0.0001704,0,0,0,0,0,0.0018937,0,0,0,0,0.0005407,0,0,0.0003916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis,0,0,0.003022899,0.0004335,0.004533,0,0,0.001855,0.0012852,0.005868499,0,0.0033471,0.0010845,0.0042659,0,0.002976402,0,0.002397399,0.0004938,0.0003267,0.0024622,0,0.0004089,0,0.0015828,0.000218,0.0006353,6.27E-05,0,0.0015119,0.0006157,7.41E-05,3.82E-05,0.001092399,0,0.0013652,4.06E-05,0,0.0001835,0,0.0037357,0.0003519,2.71E-05,0.0073288,0.001743301,0.0035192,0,0,0.014124304,0.0043534,0,0.0033403,0.0004059,0,0.002736999,0.0004819,0,0,0,0.0011867,0,0.006661101,0.0001289,0.000691,0,0,0,0.000231,3.50E-06,0.002356599,0.0058737,0.006677897,0,0.006483899,0.0004712,0.002132,0.0044696,0.001908798,0.0022059,0,0.0059965,7.60E-05,2.45E-05,0.0003392,0.0005527,0,0.0007117,0.0045981,0.0003365,0.003905801,3.89E-05,0,0.0062449,0.003062901,0.0001783,0.0003369
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii,0,0,0.005911298,0,0.0004062,0,0,8.44E-05,0.0002428,0,0.000703799,0.0025409,0.008965501,0,0,0,0,0.0001136,0,0,0,0,0.0011846,0,0,0,0,0,0.0003435,0,0.0001024,0,0,0,0,0,0.0001383,0,0,0,0,0,0.0001656,8.83E-05,0.0010986,0,0,0.0005184,0,0,0,8.55E-05,0.000342,0,0,0,0,0,0,0,0,0.007396101,0,0,0,0,0,0,0,0,0,0.000608,0,0,0.0001473,0,0.0002898,0,0,0,0,0.0038367,0,0,0.0001919,0,0,0.0002692,0.0003312,0,0.003935801,0,0.0002306,0.004213101,0.0002815,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_johnsonii,7.60E-06,0,0,0,0.0001437,0,0,0,8.97E-05,0,0,6.15E-05,0,0,0,0,0,0,0,0.0009646,0,0,0,0,0,0,0,0.0024278,0.0005604,0,3.67E-05,0.0001104,0,0,0,0,0,0,0,0,0,0,0,6.13E-05,0.0005968,0.0001048,0,0,0,0,0,0.0001354,0.002638299,0,0,0.001135,0,0,0,0,0,0.003287,7.63E-05,0,0,0,0,0,0,0.015090295,0.0001339,0,0,0,0,0,0,0,0,0,0,4.20E-06,0,0.0001633,0,0,0,0.0010538,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae,0.0038655,0.020272298,0.001275,0.005001603,0.0024326,0,0.020851602,0.005573999,0.007052801,0.010753399,0.01152199,0.0031986,0,0.006803601,0,0,0,0.003533599,0.009826505,0.001098,0.0053077,0,0.0062556,0,0.003066599,0.011456202,0.0015908,0,0.014246003,0.0021434,0.009010401,0,0,0.0002614,0.005037101,0,0.0002215,0.0076493,0.004617602,0,0,0.0016337,0.003865802,0.0025763,0.004969601,0.006228499,0.016119205,0,0,0.0096254,0.0042491,0.0096116,0.0010903,0,0.017013997,0.003357699,0,0.002861301,0.0006829,0,0.005750499,0,0.0013999,0,0.006109799,0.003946498,0.002705999,0.003309801,0,8.46E-05,0.0039616,0,0,0,0.0001346,0.0066615,0.012495399,0.006813994,0.008714498,0.0007946,0,0.009587599,0.012356801,0.002519099,0.001188599,0,0,0.0008094,0.006281504,0.007659902,0.017523904,0.0017968,0.0062848,0.007605002,0.000296,0.002390801
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_sp_D13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0058692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified,0.005220999,0,0,0,0.009924199,0,0,0,0,0,0.000693099,0,0.014688101,0.005241401,0,0.004657703,0,0.000255,0,0.0004552,0.000437,0,0,0,0,0,0,0,0.004500101,0.0018107,0,0,0.016427003,0.0004885,0.0014416,0.005380202,0.006889599,0,0,0,0.0049374,0,0,0.001297,0,0,0.005683802,0.020716696,0.026257708,0.0041492,0.0002424,0,0,0.0003415,0,0,0.0034467,0,0,0.0023756,0.003481099,0,0.006255998,0.0022034,0,0.003427799,0.0015518,0,0.004175498,0,0,0.006412297,0,0.007386099,0.0002767,0,0,0,0.006212999,0,0,0.0016894,0,0.0004034,0.003362798,0.010420301,0.0008539,0.005896501,6.40E-06,0.013344303,0,0.0005792,0,0,0.0003771,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica,0,0,0,0,0,0,0,0,0,1.33E-05,3.50E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_bennonis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.79E-05,0,0,0,2.89E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_uenonis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.39E-05,0,0,0,0,0,0,2.79E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara,0,0,0.0009027,0.004541703,0.0049806,0,0,0.001939,0,0,0,0.0030351,0.005618301,0,0,0,0,0.005453198,0.004953402,0,0,0,0,0,0,0,0,0,0,0.001926,0,0,0.005159801,0.001357099,0,0,0.006119999,0.0005105,0,0,0,0,0.0006848,0.0022103,0,0.014324399,0,0,0,0,0,0.0060549,0,0.0006487,0.010938898,0.0006562,0,0,5.72E-05,0.005166401,0,0.0017485,0.006015698,0.0029559,0,0,0,0.0001619,0.0011885,0,0.0009188,0,0,0,5.73E-05,0,0,0,0.004439199,0,0,0,0.0025583,0,0,0,0,0,0,0,0,0.0014642,0.0018861,0,0.0001564,5.81E-05
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_unclassified,0,0,0.001973499,0.005315003,0.012377199,0,0,0.005805599,0,0,0,0.006696099,0.008198201,0,0,0,0,0.012696395,0.004477402,0,0,0,0,0,2.09E-05,0,0,0,0.0001696,0.0017764,0.0005562,0,0.011502002,0.001468599,0,0,0.004276,0.002037,0,0,0,0,0.002029601,0.0044204,0,0.029268597,0,0,0,0,0,0.0158379,0,0.0016625,0.010243198,0.0010171,0,0.007076501,0.0004189,0.015964702,0.004624199,0.0017608,0.006327298,0.0031658,0,0,0,0.0002173,0.0006612,0,0.0024747,0,0,0,0.0002053,0,0,0,0.011855798,0,0,0,0.005985501,0,0,0,0,0,0,0,0,0.0015625,0.0018785,0,0.0008297,0.0002416
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila,0,0,8.59E-05,0.001390801,0.0011826,0,0,0,0,0,0,3.34E-05,0.0011954,0,0,0,0,7.67E-05,0.0008277,0,0,0,0,0,0,0,0,0,0,0.000271,0,0,1.19E-05,0.0004045,0,0,0.0016785,0,0,0,0,0,2.47E-05,2.86E-05,0,0.0004282,0,0,0,0,0,6.76E-05,0,7.49E-05,0.002735799,0,0,0.007325001,0,0.0003191,0.015696097,0.0005411,0.0011019,0.0006283,0,0,0,2.30E-06,0,0,2.22E-05,0,0,0,4.40E-06,0,0,0,7.09E-05,0,0,0,0.0001252,0,0,0,0,0,0,0,0,0.0001529,5.76E-05,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_bivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45E-05,0,0,0,0,0.0001389,0,0,0,0.0002721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.28E-05
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_buccalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.60E-06,1.90E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri,0,0,0,0.006270704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319248,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09891439,0.0194201,0,0.0036456,0,0,0,0,0.0005714,0,0,0,0,0,0,0,0,0.243517873,0,0,0,0,0.0070316,0,0.104495679,0.010609801,0,0.2024053,0,0,0.010022498,0.005717601,0,0,0,0,0,0,0,0.0279072,0,0.064768542,0.018965596,0,0,0,0,0,0,0,0,0,0,0,0.064060313,0,0,0,0.011703105,0.008763804
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_disiens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060378488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_timonensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58E-05,0,0,0,0,0,0,0,0,0.0003163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii,0.005949899,0.0016564,0.002006899,7.38E-05,0.001336,0.014074101,0,0,0.0007169,0.0009219,0.01070129,3.92E-05,0.0015364,0.000537,0.0008254,0.002752802,0.0031057,0.004000798,0.0003867,0.0005902,0,0.0050737,0,0.0010653,4.09E-05,0.006417501,0.0022963,0.0002149,0.0013675,0.0031407,0.0006261,0.0001857,6.02E-05,0.0007137,0.0005334,0.002232001,7.98E-05,3.65E-05,3.15E-05,0.0011742,0,0,8.01E-05,0,0.0006884,0.001459,0,0,0.0001709,4.36E-05,0.0001258,0,0.0007349,0,0.0005263,0.0012154,0.0027041,6.87E-05,0,0.0003421,0.000582,1.23E-05,0.004602799,0,0.021412796,0.002335099,0,0.0001112,0,0,0.0002702,0,0.004966799,3.98E-05,4.70E-06,4.45E-05,0.0008502,0.001096699,0.010061098,0,0.0033823,0,0.0009585,9.72E-05,0.0004995,0,0.0003646,0.0040824,0.002427601,0.0009542,0,0.0008029,0.0022305,4.21E-05,0.0001665,0.0001918
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus,0.000617,5.34E-05,0.0004302,0,0.0013139,0.000186,0,0.0002239,0,0.0001822,0.0003497,7.57E-05,0.011671501,0.000138,0,0.0002916,0,0.0012473,0.0005311,0.000565,0,0,0.0002925,0,0.003130799,0.0003161,0,0,0.0007653,0.002131,8.68E-05,7.99E-05,0,0,0,0,7.10E-06,0.0001099,0.0005337,0,0,0,6.13E-05,0.0016355,0,0.0019842,0,0,0.004734301,0.0001597,0.0006281,0,0.0014656,0,0,0,4.22E-05,0,0,0.0009962,0.0007918,3.36E-05,0.0001525,0.0006235,0,0.0011186,0.0022777,0,0,0.001907499,0.0022417,8.90E-06,0,0,0.0004363,0,0.0004808,0.003006097,0.0002227,0,0,0.0001409,0.0006317,0.005474999,0.0004637,0,0,0.0009157,0.0003048,0.0002496,0.008279102,0.0001527,9.53E-05,0.0001338,0.0004446,0.0011389
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii,0.065478493,0.0001494,0.000516,0.0006644,0.0019481,0.005626401,0.005589601,0.0001338,0.010004902,0.0027089,0.025252077,9.56E-05,0.0018778,0.007244301,0.042483275,0.002591602,0.006645799,0.007629097,0.0005861,0.0016776,0,0.0086103,1.17E-05,0.0023433,0.005878699,0.007177101,0.0004234,0.017502098,0.0005121,0.1292381,0.0010535,0.001226,0.002617201,9.85E-05,0.0014204,0.031136209,0.0012148,0.0005018,0.004218202,0.006829901,0,0,0.0009667,0.0279606,0.0010446,0.0011083,0,0,0,0.0079302,0.0008644,0.0011021,0.003660799,0,0.0008329,0.001696899,0.002715,0.005347401,6.43E-05,0,0.0008701,2.95E-05,0.0005703,0,0.002530199,0.007644697,0,0.0002566,0.019797892,0.004486299,0.0066933,0.0001153,0.011292498,0.0006962,0.0026732,0.0018278,0.000783,0.006144094,0.0008565,0.0002227,0.0009785,0.007036899,0.0023435,0.0001461,0.000142,0,0.005540599,0.0004929,0.005171703,0.0013571,0.005029201,0.009663699,0.0029971,0.0004692,0.0003267,0.0001087
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,0.064117394,0.012759899,0.021945493,0.009782506,0.006162799,0.035627704,0.036034004,0.010686698,0.025730905,0.016487398,0,0.009678399,0.044791104,0.028756703,0.001878899,0.040105724,0.026602197,0.022478991,0.027302214,0.0055028,0.0108717,0.0075363,0.0087855,0.004148401,0.0010775,0.033645207,0,0.010970899,0.016874903,0.0139331,0.011878301,0.0015297,0.012513703,0.011684894,0.010314201,0.03383861,0.016404998,0.0025954,0.015124406,0.022779302,0.035438396,0.008888798,0.008384803,0.0283219,0.009050803,0.006119699,0,0,0.309026593,0.0185052,0.0059029,0.01926,0.019523796,0.0003551,0.020300396,0.005421698,0.0003136,0.024311805,0.00143,0.023721502,0.046786591,0.029583403,0.015658895,0.0041536,0.020587096,0.029774688,0.004978899,0.003094101,0.005408698,0.013487496,0.0302751,0.002217499,0,0.0011286,0.0041475,0.0118032,0,0.026433076,0.002623999,0.003421198,0,0.018497898,0.020815402,0.011862298,0.012464294,0.0016522,0,0.022787802,0.028228217,0.038265408,0,0.010635399,0.0116679,0.017948905,0.016440407,0.003867402
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_senegalensis,0.0001766,0,0.003821099,0.0002732,0.0009389,5.70E-06,0,4.66E-05,5.21E-05,0,0.0004193,0.0007689,0.0028682,0.000299,0.0003556,0.001715701,0,0.001493999,0.0003568,0,9.61E-05,0,0.0003694,0,0.0004298,0.0001862,0,0,7.24E-05,0.0005671,9.06E-05,0,0.0003154,0.0001436,0,0,0.0001977,0,9.25E-05,0,0,0,3.03E-05,0,0.0002236,0.0019764,0,0.0004206,0.001874701,0.0004479,0.0001501,0.0002266,0.0007928,0.0002481,0,6.30E-05,0.0017329,1.85E-05,0,0,0,0.0006862,0.001879099,4.11E-05,0.001319,0.0001437,3.40E-06,2.83E-05,0,0.000141,0.0008452,0,2.80E-06,0.0007968,7.13E-05,0,0,0.001274499,0.0008607,0,8.88E-05,6.84E-05,0,0.0006725,0.0001354,0,0,3.03E-05,0.001028501,0.0008523,0,0.0002092,1.62E-05,0.0004386,0.0001146,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii,0.009658299,0.0042512,0.017949395,0.001664301,0.006933899,0.0010287,0.015376802,0.0012567,0.003206001,0.001943,0,0.0032032,0.018888402,0.0044437,0.001052099,0.002107101,0,0.018779292,0.002271101,0.0016962,0,0,0.001094,0,0.010707498,0.003619601,0.0036906,0.0019409,0.004731901,0.0104488,0.0025642,9.90E-06,0,0.001452999,0.0004669,0,0.001558,0.0003877,0.003263401,0.0015604,0,0.002994499,0.003867102,0,0.002605601,0.016386698,0,0.007510598,0,0.0090795,0.0003986,0.0169048,0.002563499,9.20E-06,0.004257599,0.004789599,0.0039802,0.003442701,3.32E-05,0,0.003715199,0.0011474,0.003680099,0.0022637,0,0.002386699,0.0006477,0.0001751,0,0.006058098,0.023622,0,0,0.0032568,0,0,0.0033871,0.003390097,0.015625397,0,0,0,0.007585301,0.005113299,0.003192298,0,0,0.0033536,0.005234403,0.002532801,0.004397601,0.0033161,0.0010624,0.001762801,0.001582401,0.0004015
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_sp_AP11,0.0046107,0,0,0,0,0,0,0,0.0015051,0.0043319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029368,0,0,0,0,0,0,0.0018384,0.003704201,0,0,0,0.0026058,0,0,0.001486701,0,0.002862601,0.0045337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024914,0,0,0.009815998,0.007184297,0,0,0,0.004467699,0.0076587,0,0,0,0,0,0,0,0,0,0.0052826,0.0029214,0.0022666,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_sp_HGB5,0.005765799,0,0,0,0,0,0,0,0,0,0,0,0.015086202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045042,0.008612203,0,0,0.003312001,0.046247805,0,0,0,0.0051218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002423699,0,0,0,0,0,0,0,0,0,0,0.006355799,0,0,0.0016652,0,0,0,0,0,0,0,0.008111796,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_unclassified,0,0,0,0,0,0,0,0.0008919,0,0.0008823,0,0.0041435,0,0,0.010636094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044495,0,0,0,0,0,0,0.004355699,0,0,0,0,0,0.000776,0,0,0.0103391,0,0,0,0,0,0.006408898,0,0,0,0,0,0,0.002915399,0,0,0,0.052432595,0,0,0,0,0,0,0.0009316,0,0,0,0,0,0.0024541,0,0,0,0.003519501,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Cellulophaga|s__Cellulophaga_unclassified,0,0,0,0,0.0005884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000152,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000143,7.31E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter|s__Pedobacter_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname|g__Candidatus_Saccharibacteria_noname_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20E-06,0,0,0,0,6.80E-05,5.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname|g__Candidatus_Saccharibacteria_noname|s__candidate_division_TM7_single_cell_isolate_TM7c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64E-05,0,0,0,0,0,2.80E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
